Country/Region,Confirmed,Deaths,Recovered,Active,Case_Fatality_Rate,Recovery_Rate,New deaths,New cases,New recovered,WHO Region
Afghanistan,36263,1269,25198,9796,3.5,69.49,10,106,18,Eastern Mediterranean
Albania,4880,144,2745,1991,2.95,56.25,6,117,63,Europe
Algeria,27973,1163,18837,7973,4.16,67.34,8,616,749,Africa
Andorra,907,52,803,52,5.73,88.53,0,10,0,Europe
Angola,950,41,242,667,4.32,25.47,1,18,0,Africa
Antigua and Barbuda,86,3,65,18,3.49,75.58,0,4,5,Americas
Argentina,167416,3059,72575,91782,1.83,43.35,120,4890,2057,Americas
Armenia,37390,711,26665,10014,1.9,71.32,6,73,187,Europe
Australia,15303,167,9311,5825,1.09,60.84,6,368,137,Western Pacific
Austria,20558,713,18246,1599,3.47,88.75,1,86,37,Europe
Azerbaijan,30446,423,23242,6781,1.39,76.34,6,396,558,Europe
Bahamas,382,11,91,280,2.88,23.82,0,40,0,Americas
Bahrain,39482,141,36110,3231,0.36,91.46,1,351,421,Eastern Mediterranean
Bangladesh,226225,2965,125683,97577,1.31,55.56,37,2772,1801,South-East Asia
Barbados,110,7,94,9,6.36,85.45,0,0,0,Americas
Belarus,67251,538,60492,6221,0.8,89.95,4,119,67,Europe
Belgium,66428,9822,17452,39154,14.79,26.27,1,402,14,Europe
Belize,48,2,26,20,4.17,54.17,0,0,0,Americas
Benin,1770,35,1036,699,1.98,58.53,0,0,0,Africa
Bhutan,99,0,86,13,0.0,86.87,0,4,1,South-East Asia
Bolivia,71181,2647,21478,47056,3.72,30.17,64,1752,309,Americas
Bosnia and Herzegovina,10498,294,4930,5274,2.8,46.96,14,731,375,Europe
Botswana,739,2,63,674,0.27,8.53,1,53,11,Africa
Brazil,2442375,87618,1846641,508116,3.59,75.61,614,23284,33728,Americas
Brunei,141,3,138,0,2.13,97.87,0,0,0,Western Pacific
Bulgaria,10621,347,5585,4689,3.27,52.58,7,194,230,Europe
Burkina Faso,1100,53,926,121,4.82,84.18,0,14,6,Africa
